Region,Scenario,Variable,Year,scengroup,IMACLIM,IMAGE,WITCH,maxwacc,minwacc
Transition countries,CoC-convergence,Hydro,2030,NDC,0.055151725213882785,0.06025450313625188,0.0687821165775254,0.0687821165775254,0.055151725213882785
Transition countries,CoC-convergence,Hydro,2035,NDC,0.051363353061159966,0.05577664317805003,0.06239152984962144,0.06239152984962144,0.051363353061159966
Transition countries,CoC-convergence,Hydro,2040,NDC,0.04757928500526007,0.051298784157269524,0.05600094312171746,0.05600094312171746,0.04757928500526007
Transition countries,CoC-convergence,Hydro,2045,NDC,0.043790912852537243,0.04682092313026228,0.049610356393813386,0.049610356393813386,0.043790912852537243
Transition countries,CoC-convergence,Hydro,2050,NDC,0.039999999999999994,0.04234306999999999,0.0432197696659094,0.0432197696659094,0.039999999999999994
Transition countries,CoC-convergence,Hydro,2055,NDC,0.039999999999999994,0.04234306999999999,0.0432197696659094,0.0432197696659094,0.039999999999999994
Transition countries,CoC-convergence,Hydro,2060,NDC,0.039999999999999994,0.04234306999999999,0.0432197696659094,0.0432197696659094,0.039999999999999994
Transition countries,CoC-convergence,Hydro,2065,NDC,0.039999999999999994,0.04234306999999999,0.0432197696659094,0.0432197696659094,0.039999999999999994
Transition countries,CoC-convergence,Hydro,2070,NDC,0.039999999999999994,0.04234306999999999,0.0432197696659094,0.0432197696659094,0.039999999999999994
Transition countries,CoC-convergence,Hydro,2075,NDC,0.039999999999999994,0.04234306999999999,0.0432197696659094,0.0432197696659094,0.039999999999999994
Transition countries,CoC-convergence,Hydro,2080,NDC,0.039999999999999994,0.04234306999999999,0.0432197696659094,0.0432197696659094,0.039999999999999994
Transition countries,CoC-convergence,Hydro,2085,NDC,0.039999999999999994,0.04234306999999999,0.0432197696659094,0.0432197696659094,0.039999999999999994
Transition countries,CoC-convergence,Hydro,2090,NDC,0.039999999999999994,0.04234306999999999,0.0432197696659094,0.0432197696659094,0.039999999999999994
Transition countries,CoC-convergence,Hydro,2095,NDC,0.039999999999999994,0.04234306999999999,0.0432197696659094,0.0432197696659094,0.039999999999999994
Transition countries,CoC-convergence,Hydro,2100,NDC,0.039999999999999994,0.04234306999999999,0.0432197696659094,0.0432197696659094,0.039999999999999994
Transition countries,CoC-convergence,Biomass,2020,NDC,0.07388195165333522,0.07965245127013533,0.0801199165775255,0.0801199165775255,0.07388195165333522
Transition countries,CoC-convergence,Biomass,2025,NDC,0.07006509998472706,0.07607015626651416,0.0801199165775255,0.0801199165775255,0.07006509998472706
Transition countries,CoC-convergence,Biomass,2030,NDC,0.06625140351948151,0.07159230024064843,0.0801199165775255,0.0801199165775255,0.06625140351948151
Transition countries,CoC-convergence,Biomass,2035,NDC,0.06243739980246188,0.06711444210924462,0.07372932984962144,0.07372932984962144,0.06243739980246188
Transition countries,CoC-convergence,Biomass,2040,NDC,0.058630548133853704,0.06263658108223738,0.06733874312171746,0.06733874312171746,0.058630548133853704
Transition countries,CoC-convergence,Biomass,2045,NDC,0.05481369646524553,0.05815872206145687,0.060948156393813374,0.060948156393813374,0.05481369646524553
